Air Speed,Total_0,Friction_0,Rho_0,Total_26,Friction_26,Rho_26,Total_40,Friction_40,Rho_40
0.1,7191.5,19034.4,-11842.9,7732.23,24441.6,-16709.3,7732.42,50826.1,-43093.7
1,71.915,190.344,-118.429,77.3233,244.416,-167.093,77.3242,508.261,-430.937
2,17.9788,47.5861,-29.6073,19.3308,61.1041,-41.7733,19.3311,127.065,-107.734
3,7.99056,21.1494,-13.1588,8.59148,27.1574,-18.5659,8.59158,56.4734,-47.8819
4,4.49469,11.8965,-7.40184,4.8271,15.276,-10.4433,4.832776,31.766308,-26.933545
5,2.8766,7.61378,-4.73718,3.09293,9.77665,-6.68372,3.09297,20.3304,-17.2375
6,1.88764,5.28734,-3.2897,2.14787,6.78934,-4.64147,2.14789,14.1184,-11.9705
7,1.46765,3.88458,-2.41693,1.57803,4.98809,-3.41006,1.578905,10.3727,-8.79463
8,1.12367,2.97413,-1.85046,1.20818,3.81901,-2.61083,1.20819,7.94158,-6.73339
9,0.88784,2.34993,-1.46209,0.954609,2.01749,-2.06288,0.96462,6.27483,-5.32021
10,0.71915,1.90344,-1.18429,0.773233,2.44416,-1.67093,0.773242,5.08261,-4.30937
11,0.594339,1.57309,-0.978755,0.639036,2.01997,-1.38093,0.639043,4.2005,-3.56146
12,0.49941,1.32184,-0.822426,0.536968,1.69734,-1.16037,0.536974,3.5205,-2.99262
13,0.425533,1.1263,-0.700766,0.457534,1.44625,-0.988716,0.45754,3.00746,-2.54992
14,0.366913,0.97115,-0.604232,0.394507,1.24702,-0.852515,0.394511,3.59317,-2.19866
15,0.319622,0.845975,-0.526353,0.343659,1.08629,-0.742636,0.343663,2.25894,-1.91527
16,0.280918,0.743533,-0.462615,0.302044,0.954751,-0.652707,0.32048,1.98539,-1.68335
17,0.248841,0.658631,-0.40979,0.267555,0.845731,-0.578177,0.267558,1.75869,-1.49133
18,0.22196,0.587483,-0.365523,0.238652,0.754371,-0.515719,0.238655,1.56871,-1.33005
19,0.199211,0.52727,-0.328059,0.214192,0.677054,-0.462862,0.214194,1.40793,-1.19373
20,0.179788,0.475861,-0.296073,0.193308,0.611041,-0.417733,0.193311,1.27065,-1.07734
21,0.163073,0.43162,-0.268547,0.175336,0.554232,-0.378896,0.175338,1.15252,-0.977181
22,0.148585,0.393274,-0.244689,0.159759,0.504992,-0.345234,0.159761,1.05013,-0.890365
23,0.135945,0.359819,-0.223874,0.146169,0.462035,-0.315866,0.146171,0.960796,-0.814625
24,0.124852,0.330459,-0.25607,0.134242,0.424334,-0.290092,0.134243,0.882397,-0.748154
25,0.115064,0.304551,-0.189487,0.123717,0.391066,-0.267349,0.123719,0.813217,-0.689499
26,0.106383,0.281575,-0.175191,0.114384,0.061563,-0.247179,0.114385,0.751865,-0.63748
27,0.0986489,0.261103,-0.162455,0.106068,0.335276,-0.229209,0.106069,0.697203,-0.591134
28,0.0917283,0.242786,-0.151058,0.0986267,0.311756,-0.213129,0.0986278,0.648292,-0.549664
29,0.0855113,0.226331,-0.14082,0.0919421,0.290626,-0.198684,0.0919432,0.604353,-0.51241
30,0.0799056,0.21494,-0.131588,0.0859148,0.271574,-0.185659,0.859158,0.564734,-0.478819
